metric,metric_label,group,mean,se,n
attention_score,Attention Score,With PR,138.75908573823494,2.7205370454414948,16702
attention_score,Attention Score,Without PR,2.737937817018101,0.039177641158438345,1185855
cited_by_count,Citations,With PR,87.54005432128906,2.833644151687622,16702
cited_by_count,Citations,Without PR,26.19208335876465,0.09675147384405136,1185855
news_mentions,News Mentions,With PR,15.405041694641113,0.3026495575904846,16702
news_mentions,News Mentions,Without PR,0.20386472344398499,0.0036730433348566294,1185855
patent_mentions,Patent Mentions,With PR,0.42426055669784546,0.04611637815833092,16702
patent_mentions,Patent Mentions,Without PR,0.1162966787815094,0.001279857475310564,1185855
policy_mentions,Policy Mentions,With PR,0.15105974674224854,0.012282649986445904,16702
policy_mentions,Policy Mentions,Without PR,0.01420747023075819,0.00026855405303649604,1185855
x_post_mentions,X Mentions,With PR,52.31169891357422,2.269869327545166,16702
x_post_mentions,X Mentions,Without PR,2.745758056640625,0.06381392478942871,1185855
facebook_mentions,Facebook Mentions,With PR,0.7735002040863037,0.019409075379371643,16702
facebook_mentions,Facebook Mentions,Without PR,0.050695911049842834,0.00043617250048555434,1185855
