metric,metric_label,group,mean,se,n
attention_score,Attention Score,With PR,136.25053871303314,2.985697935628418,13458
attention_score,Attention Score,Without PR,2.680853528510293,0.04091520572921596,1025121
cited_by_count,Citations,With PR,85.48305840392332,3.4356013568964547,13458
cited_by_count,Citations,Without PR,25.599919424146027,0.10645239725443038,1025121
news_mentions,News Mentions,With PR,15.119631445980087,0.33085056832652626,13458
news_mentions,News Mentions,Without PR,0.1966675153469688,0.003783356542977525,1025121
patent_mentions,Patent Mentions,With PR,0.4298558478228563,0.04761399885437398,13458
patent_mentions,Patent Mentions,Without PR,0.11957125061334223,0.001461890132817259,1025121
policy_mentions,Policy Mentions,With PR,0.14489522960321,0.013557791470411584,13458
policy_mentions,Policy Mentions,Without PR,0.0139856660823454,0.0002827766356208259,1025121
x_post_mentions,X Mentions,With PR,51.605141923019765,2.573404671781666,13458
x_post_mentions,X Mentions,Without PR,2.7120525284332286,0.0694045347853585,1025121
facebook_mentions,Facebook Mentions,With PR,0.8135681379105365,0.022269260709280665,13458
facebook_mentions,Facebook Mentions,Without PR,0.05383657148765853,0.00048241147393674936,1025121
