metric,metric_label,group,mean,se,n
attention_score,Attention Score,With PR,134.06078840546567,2.6047457461819317,17491
attention_score,Attention Score,Without PR,2.719505663483619,0.03868604962615689,1201469
cited_by_count,Citations,With PR,84.44416809082031,2.7088370323181152,17491
cited_by_count,Citations,Without PR,26.04840087890625,0.09559661895036697,1201469
news_mentions,News Mentions,With PR,14.900920867919922,0.28976935148239136,17491
news_mentions,News Mentions,Without PR,0.20274929702281952,0.0036279961932450533,1201469
patent_mentions,Patent Mentions,With PR,0.40649476647377014,0.044042229652404785,17491
patent_mentions,Patent Mentions,Without PR,0.1156625747680664,0.0012642163783311844,1201469
policy_mentions,Policy Mentions,With PR,0.14498884975910187,0.011738387867808342,17491
policy_mentions,Policy Mentions,Without PR,0.01415350753813982,0.0002656901197042316,1201469
x_post_mentions,X Mentions,With PR,50.05820083618164,2.1689558029174805,17491
x_post_mentions,X Mentions,Without PR,2.717172861099243,0.06298617273569107,1201469
facebook_mentions,Facebook Mentions,With PR,0.7391801476478577,0.01857317052781582,17491
facebook_mentions,Facebook Mentions,Without PR,0.05009450763463974,0.0004306261835154146,1201469
