metric,metric_label,group,mean,se,n
attention_score,Attention Score,With PR,36.41688144329897,1.4112571994500407,1552
attention_score,Attention Score,Without PR,2.2204585537918873,0.11320150414984571,23247
cited_by_count,Citations,With PR,23.3215206185567,1.4270796390095941,1552
cited_by_count,Citations,Without PR,19.177528283219342,0.3490529360186526,23247
news_mentions,News Mentions,With PR,4.344716494845361,0.17223097772802196,1552
news_mentions,News Mentions,Without PR,0.1700864627693896,0.01287785796439744,23247
patent_mentions,Patent Mentions,With PR,0.0547680412371134,0.01139109108661433,1552
patent_mentions,Patent Mentions,Without PR,0.10151847550221534,0.009053508579007826,23247
policy_mentions,Policy Mentions,With PR,0.02190721649484536,0.008819929899530218,1552
policy_mentions,Policy Mentions,Without PR,0.014066331139501871,0.0014879237770222323,23247
x_post_mentions,X Mentions,With PR,5.059922680412371,0.2832472633697024,1552
x_post_mentions,X Mentions,Without PR,1.870262829612423,0.12260846412326099,23247
facebook_mentions,Facebook Mentions,With PR,0.389819587628866,0.017260605012534617,1552
facebook_mentions,Facebook Mentions,Without PR,0.131500838817912,0.0032820205598376477,23247
