category,original_name,search_term_used,openalex_id,openalex_name,works_count,issn_or_ror
journal,Advanced Devices & Instrumentation,,https://openalex.org/S4210237561,Advanced Devices & Instrumentation,94,2767-9713
institution,"Aerospace Information Research Institute, Chinese Academy of Sciences",Searched: Aerospace Information Research Institute,https://openalex.org/I4210137199,Aerospace Information Research Institute,12838,
publisher,"Beijing Institute of Technology Press Co., Ltd",Matched to university publisher entry,https://openalex.org/P4320800723,Beijing Institute of Technology,5896,
journal,BioDesign Research,,https://openalex.org/S4210209251,BioDesign Research,128,2693-1257
journal,Biomaterials Research,,https://openalex.org/S2737714521,Biomaterials Research,861,1226-4601
journal,BMEF (BME Frontiers),,https://openalex.org/S4210233487,BME Frontiers,141,2765-8031
institution,Chinese Academy of Sciences,,https://openalex.org/I19820366,Chinese Academy of Sciences,923087,https://ror.org/034t30j35
institution,Chinese Academy of Sciences Headquarters,Same as Chinese Academy of Sciences,https://openalex.org/I19820366,Chinese Academy of Sciences,923087,https://ror.org/034t30j35
journal,Cyborg and Bionic Systems,,https://openalex.org/S4210209220,Cyborg and Bionic Systems,240,2097-1087
institution,"Dalian Institute of Chemical Physics, Chinese Academy Sciences",Searched: Dalian Institute of Chemical Physics,https://openalex.org/I180585399,Dalian Institute of Chemical Physics,27607,
journal,Ecosystem Health and Sustainability,,https://openalex.org/S4210206424,Ecosystem Health and Sustainability,528,2332-8878
journal,Energy Material Advances,,https://openalex.org/S4210231836,Energy Material Advances,220,2097-1133
journal,Health Data Science,,https://openalex.org/S4210185134,Health Data Science,108,2097-1095
institution,"Hefei Institutes of Physical Science, Chinese Academy of Sciences",Searched: Hefei Institutes of Physical Science,https://openalex.org/I2802624667,Hefei Institutes of Physical Science,12477,
publisher,Higher Education Press,,https://openalex.org/P4310311889,Higher Education Press,24966,
institution,Hokkaido University,,https://openalex.org/I205349734,Hokkaido University,176342,https://ror.org/02e16g702
institution,IGSNRR CAS,Searched: Institute of Geographic Sciences and Natural Resources Research,https://openalex.org/I4210160793,Institute of Geographic Sciences and Natural Resources Research,28364,https://ror.org/04t1cdb72
institution,"Institute of Atmospheric Physics, Chinese Academy of Sciences",Searched: Institute of Atmospheric Physics,https://openalex.org/I4210152758,Institute of Atmospheric Physics,20706,
institution,Institute of Physics of the Czech Academy of Sciences,,https://openalex.org/I4210122644,"Czech Academy of Sciences, Institute of Physics",34323,https://ror.org/02yhj4v17
institution,"Institute of Process Engineering, Chinese Academy of Sciences",Searched: Institute of Process Engineering,https://openalex.org/I4210133325,Institute of Process Engineering,14272,
journal,Intelligent Computing,Manual correction - selected AAAS version,https://openalex.org/S4387281904,Intelligent Computing,120,2771-5892
journal,Journal of Bio-X Research,,https://openalex.org/S4210207711,Journal of Bio-X Research,211,2096-5672
journal,Journal of EMDR Practice and Research,,https://openalex.org/S178326525,Journal of EMDR Practice and Research,581,1933-3196
journal,Journal of Remote Sensing,Manual correction - selected AAAS version,https://openalex.org/S4210236127,Journal of Remote Sensing,186,2694-1589
institution,"Light Publishing Center, Changchun Institute of Optics, Fine Mechanics And Physics, CAS",Searched: Changchun Institute of Optics,https://openalex.org/I4210088164,"Changchun Institute of Optics, Fine Mechanics and Physics",12999,https://ror.org/012rct222
institution,Nagoya University,,https://openalex.org/I60134161,Nagoya University,196102,https://ror.org/04chrp450
journal,Ocean-Land-Atmosphere Research (OLAR),,https://openalex.org/S4220650953,Ocean-Land-Atmosphere Research,98,2771-0378
institution,Osaka City University,Former name of Osaka Metropolitan University,https://openalex.org/I317356780,Osaka City University,46727,https://ror.org/02skfsw40
institution,Osaka Metropolitan University,,https://openalex.org/I4387152983,Osaka Metropolitan University,7588,https://ror.org/01hvx5h04
institution,Osaka Prefecture University,Former name of Osaka Metropolitan University,https://openalex.org/I15807432,Osaka Prefecture University,38482,https://ror.org/02cf1je33
journal,Plant Phenomics,,https://openalex.org/S4210217755,Plant Phenomics,412,2097-0374
journal,Research,Manual correction - searched by ISSN 2639-5274,https://openalex.org/S4210218516,Research,1017,2639-5274
publisher,Shanghai Jiao Tong University Journal Center,Searched: Shanghai Jiao Tong University,https://openalex.org/P4320800561,Shanghai Jiao Tong University,8072,https://www.qk.sjtu.edu.cn/EN/column/column22.shtml
institution,"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences",Searched: Shenzhen Institute of Advanced Technology,https://openalex.org/I4210145761,Shenzhen Institutes of Advanced Technology,24265,
journal,Space: Science & Technology,,https://openalex.org/S4210198803,Space Science & Technology,267,2692-7659
publisher,Tsinghua University Press,,https://openalex.org/P4310311901,Tsinghua University Press,13396,
journal,Ultrafast Science,,https://openalex.org/S4210223486,Ultrafast Science,131,2097-0331
institution,University of Kyoto,Searched: Kyoto University,https://openalex.org/I22299242,Kyoto University,336961,https://ror.org/02kpeqv85
institution,University of Science and Technology of China,,https://openalex.org/I126520041,University of Science and Technology of China,181899,https://ror.org/04c4dkn09
institution,University of Tokyo,,https://openalex.org/I74801974,The University of Tokyo,474693,https://ror.org/057zh3y96
journal,Brain Organoid and Systems Neuroscience Journal,,,,,2949-9216
journal,Cancer Communications,,,,,2523-3548
journal,Civil Engineering Sciences,,,,,3067-7807
journal,Computational and Structural Biotechnology Journal,,,,,2001-0370
journal,Computational and Structural Biotechnology Reports,,,,,2950-3639
